panel,n,m,seed,generator,generator_alpha,generator_sigma,data_scale,prefilter_relative_gap,screen_relative_gap,screen_absolute_gap,method,status,value,lower_bound,upper_bound,exact_value,upper_gap,lower_gap,relative_upper_gap,relative_lower_gap,runtime,rank1_residual,relative_rank1_residual,pd_gap,relative_pd_gap,shor_gap,relative_shor_gap,x_trace,y_trace,max_skew_violation,fro_skew_violation,relative_max_skew_violation,relative_fro_skew_violation,lazy_cut_strategy,n_cuts,n_iters,n_rounds,full_constraint_count,oracle_solves,dual_bracket_gap,relative_dual_bracket_gap,oracle_margin,gurobi_time_limit,gurobi_mip_gap,gurobi_sol_count,rank1_repairs,rank1_residual_initial_max
square,2,2,13,correlated-top,3.0,0.1,2.9089352119961265,0.01,0.23403305633275717,0.38326773629614186,Full SEP,SolutionStatus.Optimal,-1.2543972384299198,-1.254397238521382,-1.2543972384299198,-1.2543972384299198,0.0,9.146217117006472e-11,0.0,7.291324339798097e-11,0.0012532910332083702,6.280485838574585e-09,6.280485838574585e-09,9.146217117006472e-11,7.291324339798097e-11,,,,,,,,,,,,,,,,,,,,,,
square,2,2,13,correlated-top,3.0,0.1,2.9089352119961265,0.01,0.23403305633275717,0.38326773629614186,Dual LOP/TRS,OPTIMAL,-1.2543972256620401,-1.2543981628813716,-1.2543972256620401,-1.2543972384299198,1.2767879642439084e-08,9.244514518336189e-07,1.0178497888292661e-08,7.369681168139946e-07,0.017570124939084053,1.0098853853964424e-07,1.0098853853964424e-07,,,,,,,,,,,,,,,,23,1.0607613973867558e-06,8.456337300033753e-07,-1.2354206546660862e-07,,,,0,6.252751859708652e-07
square,2,2,13,correlated-top,3.0,0.1,2.9089352119961265,0.01,0.23403305633275717,0.38326773629614186,Gurobi,OPTIMAL,-1.2543983228543025,-1.2543989700544338,-1.2543983228543025,-1.2543972384299198,-1.0844243827357047e-06,1.7316245140008846e-06,8.644976344261741e-07,1.380441594212838e-06,0.02503133285790682,,,,,,,,,,,,,,,,,,,,,,5.0,5.159446720181494e-07,3,,
square,2,2,13,correlated-top,3.0,0.1,2.9089352119961265,0.01,0.23403305633275717,0.38326773629614186,Lazy SEP,Optimal,-1.254397238429921,-1.2543972385213822,-1.254397238429921,-1.2543972384299198,-1.1102230246251565e-15,9.146239321466965e-11,8.850649464238127e-16,7.291342041097023e-11,0.0013684589648619294,6.2804845986111915e-09,6.2804845986111915e-09,9.146128299164502e-11,7.291253534602387e-11,,,,,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,coordinate,1,2,2,1,,,,,,,,,
square,2,2,14,correlated-top,3.0,0.1,3.1171142961260694,0.01,0.254502268707074,0.3869826509533354,Shor,Optimal,-1.5205469598337575,-1.5205469598337575,-0.6613799492946112,-1.1335643281551502,0.472184378860539,0.38698263167860736,0.41654837500841985,0.25450225603089327,0.001036916859447956,1.5923583655056155,0.7485538799305627,-2.599531701008573e-10,1.70960303737859e-10,0.38698263167860736,0.25450225603089327,1.000000009613668,1.00000001448039,,,,,,,,,,,,,,,,,,
square,2,2,14,correlated-top,3.0,0.1,3.1171142961260694,0.01,0.254502268707074,0.3869826509533354,Full SEP,SolutionStatus.Optimal,-1.1335643281551502,-1.1335643289142334,-1.1335643281551502,-1.1335643281551502,0.0,7.590832407089465e-10,0.0,6.696428436805367e-10,0.0011687083169817924,1.830524903075611e-07,1.830524903075611e-07,7.590832407089465e-10,6.696428436805367e-10,,,,,,,,,,,,,,,,,,,,,,
square,2,2,14,correlated-top,3.0,0.1,3.1171142961260694,0.01,0.254502268707074,0.3869826509533354,Dual LOP/TRS,OPTIMAL,-1.1335643088804221,-1.1335643017765062,-1.1335643088804221,-1.1335643281551502,1.9274728035867383e-08,-2.637864393584266e-08,1.7003647307106566e-08,0.0,0.01799775008112192,1.4327540898959472e-08,1.4327540898959472e-08,,,,,,,,,,,,,,,,23,9.669393676858817e-07,8.530079556761868e-07,-9.74043283585857e-07,,,,0,8.702853818952613e-08
square,2,2,14,correlated-top,3.0,0.1,3.1171142961260694,0.01,0.254502268707074,0.3869826509533354,Gurobi,OPTIMAL,-1.1335663329820362,-1.1335681680730143,-1.1335663329820362,-1.1335643281551502,-2.0048268860595186e-06,3.839917864123521e-06,1.7686012963930266e-06,3.387460915254095e-06,0.018892415799200535,,,,,,,,,,,,,,,,,,,,,,5.0,1.618865102703331e-06,8,,
square,2,2,14,correlated-top,3.0,0.1,3.1171142961260694,0.01,0.254502268707074,0.3869826509533354,Lazy SEP,Optimal,-1.1335643281551493,-1.1335643289142328,-1.1335643281551493,-1.1335643281551502,8.881784197001252e-16,7.590825745751317e-10,7.835271432240772e-16,6.6964225603518e-10,0.0014005840057507157,1.8305249882818667e-07,1.8305249882818667e-07,7.590834627535514e-10,6.696430395623228e-10,,,,,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,coordinate,1,2,2,1,,,,,,,,,
square,2,2,15,correlated-top,3.0,0.1,2.9509610288533286,0.01,0.013292013503599091,0.019163679960144897,Shor,Optimal,-1.4417439430794987,-1.4417439430794987,-1.2985011392358785,-1.4225802648435817,0.12407912560770318,0.019163678235917025,0.08722117737331761,0.013292012307666985,0.0011130417697131634,0.49418359360463127,0.19348776695514333,2.034884927226699e-09,1.4114052200422485e-09,0.019163678235917025,0.013292012307666985,0.9999999934169397,0.9999999931361796,,,,,,,,,,,,,,,,,,
