panel,n,m,seed,generator,condition,center_scale,prefiltered,screen_relative_gap,screen_absolute_gap,method,status,value,lower_bound,upper_bound,reference_upper_bound,max_distance_squared,bound_gap,relative_bound_gap,runtime,rank1_residual,relative_rank1_residual,rank1_eig_largest,rank1_eig_second,rank1_eig_ratio,sep_rank1_residual,relative_sep_rank1_residual,pd_gap,relative_pd_gap,x_trace,y_trace,x_ball,y_ball,primal_feasibility_violation,certification_gap,relative_certification_gap,max_skew_violation,fro_skew_violation,relative_max_skew_violation,relative_fro_skew_violation,lazy_cut_strategy,max_kron_violation,fro_kron_violation,relative_max_kron_violation,relative_fro_kron_violation,n_cuts,n_iters,n_rounds,full_constraint_count,gurobi_time_limit,gurobi_mip_gap,gurobi_sol_count
square,6,6,27,ellipsoids,5.0,1.0,True,0.013428991240797578,1.0767769922887283,Gurobi,TIME_LIMIT,,-89.88270825505492,-79.10623697956163,-79.10623697956163,96.9343420942453,10.776471275493293,0.11989482164815872,5.002335374709219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.13622783344222955,1
square,6,6,99,ellipsoids,5.0,1.0,True,0.011859576068839235,0.9472003722912063,Gurobi,TIME_LIMIT,,-95.53586868624396,-78.92077861727434,-78.92077861727434,103.21712747080967,16.61509006896962,0.17391468039649488,5.002098666969687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.21052871449158378,1
square,6,6,534,ellipsoids,5.0,1.0,True,0.013261644789571906,0.8541367022102548,Gurobi,TIME_LIMIT,,-69.0342163743083,-63.5524068120522,-63.5524068120522,85.47280012502344,5.481809562256103,0.07940713823031396,5.002900875173509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.08625652177844033,1
square,6,6,632,ellipsoids,5.0,1.0,True,0.01130966934465458,0.49360640481415174,Gurobi,TIME_LIMIT,,-63.976319388202604,-43.151029859238136,-43.151029859238136,70.82915423394684,20.82528952896447,0.3255155927711075,5.0020286669023335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.48261396302470927,1
square,6,6,966,ellipsoids,5.0,1.0,True,0.033883403543391435,1.7271226420163543,Gurobi,TIME_LIMIT,,-56.450801609455645,-49.24540258864955,-49.24540258864955,62.26799254008958,7.205399020806098,0.12764033132169333,5.004054291639477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.14631617657780782,1
square,6,6,988,ellipsoids,5.0,1.0,True,0.01592212698650066,1.024522245016115,Gurobi,TIME_LIMIT,,-65.25085603512682,-63.32129322830231,-63.32129322830231,85.55139946989955,1.9295628068245065,0.02957145582558726,5.002591124735773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.030472574207660807,1
square,6,6,1394,ellipsoids,5.0,1.0,True,0.02372317563931983,0.8535969237911161,Gurobi,TIME_LIMIT,,-39.92465541414548,-35.12796544243473,-35.12796544243473,47.45553065708906,4.796689971710748,0.12014355344971268,5.002307708840817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.13654904038126586,1
square,6,6,1450,ellipsoids,5.0,1.0,True,0.014562658431833653,0.9845285153004255,Gurobi,TIME_LIMIT,,-70.60792159077354,-66.6218443120858,-66.6218443120858,80.52214983395366,3.9860772786877448,0.056453683791885076,5.003428833093494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.05983138593424754,1
square,6,6,2231,ellipsoids,5.0,1.0,True,0.03438081762057944,2.1273130509741307,Gurobi,TIME_LIMIT,,-60.78123883437626,-59.74768580596921,-59.74768580596921,66.09609399529366,1.0335530284070487,0.017004474542274356,5.002298458013684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.01729862863247184,3
square,6,6,2486,ellipsoids,5.0,1.0,True,0.023134373912648908,1.6688332468787195,Gurobi,TIME_LIMIT,,-81.28941957416022,-70.46768763671741,-70.46768763671741,91.73507053298843,10.821731937442806,0.1331259590009762,5.0032716249115765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.15357012980519774,1
square,8,8,65,ellipsoids,5.0,1.0,True,0.014657486758843916,1.0044141289340018,Gurobi,TIME_LIMIT,,-144.7796510181169,-67.52125779964315,-67.52125779964315,163.0050409022328,77.25839321847376,0.533627430893628,5.0021500419825315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.144208442439325,1
square,8,8,1386,ellipsoids,5.0,1.0,True,0.011050200406702355,0.7592175437504523,Gurobi,TIME_LIMIT,,-210.56207624085502,-67.94700639857359,-67.94700639857359,239.38930980245684,142.61506984228143,0.6773065330109528,5.0029342086054385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0989161613053087,1
