panel,n,m,seed,generator,condition,center_scale,prefiltered,screen_relative_gap,screen_absolute_gap,method,status,value,lower_bound,upper_bound,reference_upper_bound,max_distance_squared,bound_gap,relative_bound_gap,runtime,rank1_residual,relative_rank1_residual,rank1_eig_largest,rank1_eig_second,rank1_eig_ratio,sep_rank1_residual,relative_sep_rank1_residual,pd_gap,relative_pd_gap,x_trace,y_trace,max_skew_violation,fro_skew_violation,relative_max_skew_violation,relative_fro_skew_violation,lazy_cut_strategy,max_kron_violation,fro_kron_violation,relative_max_kron_violation,relative_fro_kron_violation,n_cuts,n_iters,n_rounds,full_constraint_count,gurobi_time_limit,gurobi_mip_gap,gurobi_sol_count
square,20,20,23,ellipsoids,5.0,1.0,True,,,Lazy SEP,Optimal,-86.02809177316992,-86.02809177316992,-86.02808978963084,-86.02808978963084,125.50920709724403,1.9835390787648066e-06,2.3056876397942196e-08,1.0114526660181582,5.060814590403744e-08,2.5304073420959393e-08,2.999999955815104,3.7174943147999624e-08,80699516.98033823,2.9462994719467163e-08,2.9462994719467163e-08,-1.1767340879487165e-08,1.3678486453604117e-10,1.0000000006740588,1.000000000778384,5.824714773006168e-10,4.869421965790307e-09,5.824714773006168e-10,4.869421965790307e-09,coordinate,,,,,0,1,1,36100,,,
square,20,20,343,ellipsoids,5.0,1.0,True,,,Lazy SEP,Optimal,-80.97684999970254,-80.97684999970254,-80.97684977773389,-80.97684977773389,101.52824923306552,2.2196864790657855e-07,2.741137101620944e-09,0.8829923329758458,5.982422354555173e-09,2.9912111813655436e-09,2.999999996065947,3.539001277834885e-09,847696782.3818667,1.1842374540845697e-08,1.1842374540845697e-08,-4.892044103144144e-09,6.041287235996603e-11,1.0000000003387433,1.0000000003065608,1.522347109483846e-10,5.326356569084083e-10,1.522347109483846e-10,5.326356569084083e-10,coordinate,,,,,0,1,1,36100,,,
square,20,20,509,ellipsoids,5.0,1.0,True,,,Lazy SEP,Optimal,-80.1249095841367,-80.1249095841367,-80.1249084818242,-80.12490930097525,108.9273198155844,2.83161455172376e-07,3.5340003082941004e-09,1.9069515829905868,3.2965694119818284e-08,1.6482847333161785e-08,2.9999999657547676,3.251078157300264e-08,92277079.19043094,2.4476196644836005e-08,2.4476196644836005e-08,-8.123066663756617e-09,1.0138004156156751e-10,1.0000000006080134,1.0000000006995928,1.1658470543129962e-09,1.2309566336784396e-08,1.1658470543129962e-09,1.2309566336784396e-08,coordinate,,,,,50,2,2,36100,,,
square,20,20,745,ellipsoids,5.0,1.0,True,,,Lazy SEP,Optimal,-87.3996779607387,-87.3996779607387,-87.39967674791366,-87.39967674791366,123.3167478785426,1.2128250403975471e-06,1.3876767840521874e-08,0.8552774579729885,3.2105653247971385e-08,1.6052826737461767e-08,2.9999999779855755,1.9746046720954623e-08,151929144.11581725,4.063351415668413e-08,4.063351415668413e-08,-2.0194036665088788e-08,2.3105390244298457e-10,1.00000000242699,1.0000000021121724,3.477467792889488e-10,3.5303593593345124e-09,3.477467792889488e-10,3.5303593593345124e-09,coordinate,,,,,0,1,1,36100,,,
square,20,20,1141,ellipsoids,5.0,1.0,True,,,Lazy SEP,Optimal,-102.58304694166057,-102.58304694166057,-102.58304584134925,-102.58304584134925,132.5446658758225,1.1003113229435257e-06,1.0726054214097166e-08,0.9932076249970123,3.066377776838968e-08,1.533188904918256e-08,2.9999999753189455,2.4498680451978803e-08,122455573.93180457,3.2132732754441196e-08,3.2132732754441196e-08,-2.0142536527600896e-08,1.9635346315123634e-10,1.0000000012880754,1.000000001160236,5.032376824282148e-10,5.29273640514498e-09,5.032376824282148e-10,5.29273640514498e-09,coordinate,,,,,0,1,1,36100,,,
square,20,20,1326,ellipsoids,5.0,1.0,True,,,Lazy SEP,Optimal,-80.72820751779706,-80.72820751779706,-80.72819960379653,-80.72819960379653,109.26867043424073,7.914000534015031e-06,9.803265521868967e-08,1.2267336249933578,1.9203078342066982e-07,9.601540112076138e-08,2.999999790373147,1.6006796396796972e-07,18742037.544586122,9.380695477441789e-08,9.380695477441789e-08,-1.1547982126103307e-08,1.4304767170208107e-10,1.0000000007331502,1.0000000007470367,3.8773543176075925e-09,4.835069067757426e-08,3.8773543176075925e-09,4.835069067757426e-08,coordinate,,,,,0,1,1,36100,,,
square,20,20,1748,ellipsoids,5.0,1.0,True,,,Lazy SEP,Optimal,-99.36322114514897,-99.36322114514897,-99.36322022739004,-99.36322022739004,126.58632148168832,9.17758924856571e-07,9.236404720776075e-09,0.9840758749633096,2.2509070517998634e-08,1.1254535345523474e-08,2.999999982003488,1.778702898965751e-08,168662230.4235224,2.894122460517775e-08,2.894122460517775e-08,-1.218488421272923e-08,1.226297222684604e-10,1.0000000011321029,1.0000000002311498,3.019601613023226e-10,2.3995526737292844e-09,3.019601613023226e-10,2.3995526737292844e-09,coordinate,,,,,0,1,1,36100,,,
square,20,20,1949,ellipsoids,5.0,1.0,True,,,Lazy SEP,Optimal,-100.49156632769792,-100.49156632769792,-100.49155975215112,-100.49156287213782,127.6094229454625,3.455560104725919e-06,3.438656825645957e-08,1.0012558749876916,1.6847487347568856e-07,8.423744346896125e-08,2.999999832978586,1.6406799344541462e-07,18285101.011957493,9.878027946996303e-08,9.878027946996303e-08,-2.3386135694636323e-08,2.3271739658605097e-10,1.0000000028613445,1.0000000026064255,6.690628088015793e-09,5.550864973768129e-08,6.690628088015793e-09,5.550864973768129e-08,coordinate,,,,,0,1,1,36100,,,
square,20,20,2494,ellipsoids,5.0,1.0,True,,,Lazy SEP,Optimal,-99.89690975024801,-99.89690975024801,-99.89690638424486,-99.89690638424486,144.28294162991463,3.3660031562021686e-06,3.36947675820754e-08,1.0700728329829872,9.436481766209677e-08,4.718241103064949e-08,2.9999999069370817,9.349884075213156e-08,32085958.315677714,4.837332961235687e-08,4.837332961235687e-08,-1.2574886909533234e-08,1.258786376973189e-10,1.0000000001201002,1.000000000840928,3.2394712719610586e-09,3.5167542287053094e-08,3.2394712719610586e-09,3.5167542287053094e-08,coordinate,,,,,0,1,1,36100,,,
square,20,20,2599,ellipsoids,5.0,1.0,True,,,Lazy SEP,Optimal,-119.84812489706142,-119.84812489706142,-119.84810410885831,-119.84812358686838,174.56306683366327,1.310193042058927e-06,1.0932111313249689e-08,1.104942874982953,5.232551700419612e-07,2.616276522796679e-07,2.9999994773624876,5.158565507615055e-07,5815569.217709651,2.329080777592526e-07,2.329080777592526e-07,-9.17809472866793e-09,7.658104569054437e-11,1.000000000552009,1.000000000571498,2.835988810630241e-08,2.3117314781496635e-07,2.835988810630241e-08,2.3117314781496635e-07,coordinate,,,,,0,1,1,36100,,,
